CohortMonth,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,34,35,36,39
2021-04,100.0,2.941176470588235,2.941176470588235,,,2.941176470588235,2.941176470588235,5.88235294117647,,2.941176470588235,2.941176470588235,,,,2.941176470588235,,,,2.941176470588235,,,,,,,5.88235294117647,2.941176470588235,,,,,2.941176470588235,,2.941176470588235,,,
2021-05,100.0,,5.555555555555555,,,,,5.555555555555555,5.555555555555555,,5.555555555555555,5.555555555555555,5.555555555555555,,,,5.555555555555555,,,,,,,,5.555555555555555,,,,,,,,,,,,
2021-06,100.0,,5.555555555555555,,,,,11.11111111111111,,,5.555555555555555,,5.555555555555555,,,,,,,,,,,,,,,,,,,,,,5.555555555555555,,
2021-07,100.0,4.545454545454546,9.090909090909092,9.090909090909092,4.545454545454546,,4.545454545454546,4.545454545454546,,,,,,,,,,4.545454545454546,,,4.545454545454546,,,,,,,,,,,,,,,4.545454545454546,
2021-08,100.0,14.285714285714285,7.142857142857142,,7.142857142857142,,7.142857142857142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-09,100.0,,,,3.571428571428571,,,,,3.571428571428571,,,,,,3.571428571428571,,,,,,,,,3.571428571428571,,,,,,,,,,,,3.571428571428571
2021-10,100.0,,,,,,,,,,,,8.333333333333332,,,,,,,,,,,,,,8.333333333333332,,,,,,,,,,
2021-11,100.0,8.0,,,4.0,,,,,,,,4.0,,8.0,,,,,4.0,,,,,,,,,,,,,,,,,
2021-12,100.0,1.2987012987012987,1.2987012987012987,1.2987012987012987,,,,,,,,,,1.2987012987012987,,1.2987012987012987,,,,2.5974025974025974,,,,1.2987012987012987,1.2987012987012987,,,1.2987012987012987,,,,1.2987012987012987,,,,1.2987012987012987,
2022-01,100.0,,,,,,4.3478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02,100.0,5.263157894736842,5.263157894736842,5.263157894736842,,,,5.263157894736842,,5.263157894736842,,10.526315789473683,10.526315789473683,5.263157894736842,,,,5.263157894736842,,,5.263157894736842,5.263157894736842,,,10.526315789473683,,,,,,,5.263157894736842,5.263157894736842,,,,
2022-03,100.0,4.545454545454546,4.545454545454546,,,,,,,,,,,,,,,,,,4.545454545454546,,,,4.545454545454546,,,,,,,,,,,,
2022-04,100.0,5.88235294117647,,,,11.76470588235294,11.76470588235294,5.88235294117647,,11.76470588235294,11.76470588235294,5.88235294117647,5.88235294117647,11.76470588235294,11.76470588235294,,,5.88235294117647,,5.88235294117647,5.88235294117647,5.88235294117647,11.76470588235294,11.76470588235294,,11.76470588235294,5.88235294117647,5.88235294117647,5.88235294117647,,5.88235294117647,,,,,,
2022-05,100.0,8.333333333333332,,4.166666666666666,,,,4.166666666666666,,,,,,4.166666666666666,,4.166666666666666,4.166666666666666,,,,,,,,,,,,,4.166666666666666,,,,,,,
2022-06,100.0,,,4.166666666666666,,4.166666666666666,,,,,,,,,,4.166666666666666,,,,,,,,,4.166666666666666,,,,,,4.166666666666666,,,,,,
2022-07,100.0,,5.88235294117647,,,,,,,,,,,,,,,,,,,,,,,,,,,5.88235294117647,,,,,,,
2022-08,100.0,,5.88235294117647,5.88235294117647,5.88235294117647,,5.88235294117647,5.88235294117647,5.88235294117647,,,5.88235294117647,5.88235294117647,,,,,,,,,,,,,,5.88235294117647,5.88235294117647,,,,,,,,,
2022-09,100.0,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,
2022-10,100.0,5.0,,5.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
2022-11,100.0,,,,,,,,,,,,,,,,,,,,,,4.3478260869565215,,,,,,,,,,,,,,
2022-12,100.0,,6.976744186046512,2.3255813953488373,,,,,,,,,,,,,,,,,,,2.3255813953488373,,,,,,,,,,,,,,
2023-01,100.0,2.941176470588235,,2.941176470588235,,,,,,,2.941176470588235,2.941176470588235,,,,,,,,,2.941176470588235,,,,,,,,,,,,,,,,
2023-02,100.0,,,,,,,,,,4.761904761904762,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-03,100.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-04,100.0,,,,,,,,,,,5.555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,
2023-05,100.0,8.0,4.0,,4.0,4.0,4.0,4.0,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,
2023-06,100.0,6.666666666666667,,,,,,,,,,6.666666666666667,,,,,,,,,,,,,,,,,,,,,,,,,
2023-07,100.0,6.0606060606060606,3.0303030303030303,,,3.0303030303030303,,,,3.0303030303030303,3.0303030303030303,,3.0303030303030303,,,,,3.0303030303030303,,,,,,,,,,,,,,,,,,,
2023-08,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-09,100.0,,,,,,,,,,,,,,,4.545454545454546,,,,,,,,,,,,,,,,,,,,,
2023-10,100.0,10.526315789473683,15.789473684210526,,10.526315789473683,,,,,5.263157894736842,,10.526315789473683,5.263157894736842,,,,,,,,,,,,,,,,,,,,,,,,
2023-11,100.0,4.3478260869565215,,,4.3478260869565215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2023-12,100.0,1.3888888888888888,,,1.3888888888888888,,,,,,,,1.3888888888888888,,,,,,,,,,,,,,,,,,,,,,,,
2024-01,100.0,,,5.0,,,,5.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-02,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-03,100.0,6.25,,,,,,,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-04,100.0,6.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-05,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-06,100.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-07,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-08,100.0,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-10,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-11,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-12,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
